Semanas;Producto;Area;Cantidad;Monto
1;oreo;bodega;35;105
1;maracuya;bodega;8;24
1;fresa;bodega;4;12
1;oreo;lucho;9;27
1;maracuya;lucho;9;27
1;fresa;lucho;2;6
2;oreo;bodega;34;102
2;maracuya;bodega;6;18
2;fresa;bodega;4;12
2;oreo;lucho;9;27
2;maracuya;lucho;6;18
2;fresa;lucho;8;24
3;oreo;bodega;55;165
3;maracuya;bodega;12;36
3;fresa;bodega;7;21
3;oreo;lucho;8;24
3;maracuya;lucho;1;3
3;fresa;lucho;10;30
4;oreo;bodega;45;135
4;maracuya;bodega;17;51
4;fresa;bodega;11;33
4;oreo;lucho;10;30
4;maracuya;lucho;6;18
4;fresa;lucho;19;57
5;oreo;bodega;50;150
5;maracuya;bodega;15;45
5;fresa;bodega;8;24
5;oreo;lucho;18;54
5;maracuya;lucho;5;15
5;fresa;lucho;3;9
6;oreo;bodega;47;141
6;maracuya;bodega;12;36
6;fresa;bodega;8;24
6;oreo;lucho;23;69
6;maracuya;lucho;10;30
6;fresa;lucho;9;27
7;oreo;bodega;37;111
7;maracuya;bodega;12;36
7;fresa;bodega;6;18
7;oreo;lucho;30;90
7;maracuya;lucho;6;18
7;fresa;lucho;1;3
8;oreo;bodega;19;57
8;maracuya;bodega;8;24
8;fresa;bodega;4;12
8;oreo;lucho;10;30
8;maracuya;lucho;2;6
8;fresa;lucho;7;21
9;oreo;bodega;13;39
9;maracuya;bodega;5;15
9;fresa;bodega;9;27
9;oreo;lucho;13;39
9;maracuya;lucho;20;60
9;fresa;lucho;10;30
10;oreo;bodega;45;135
10;maracuya;bodega;7;21
10;fresa;bodega;2;6
10;oreo;lucho;12;36
10;maracuya;lucho;0;0
10;fresa;lucho;1;3
11;oreo;bodega;14;42
11;maracuya;bodega;6;18
11;fresa;bodega;6;18
11;oreo;lucho;5;15
11;maracuya;lucho;7;21
11;fresa;lucho;8;24
12;oreo;bodega;30;90
12;maracuya;bodega;6;18
12;fresa;bodega;5;15
12;oreo;lucho;10;30
12;maracuya;lucho;2;6
12;fresa;lucho;2;6
13;oreo;bodega;35;105
13;maracuya;bodega;5;15
13;fresa;bodega;8;24
13;oreo;lucho;3;9
13;maracuya;lucho;1;3
13;fresa;lucho;2;6
14;oreo;bodega;36;108
14;maracuya;bodega;10;30
14;fresa;bodega;5;15
14;oreo;lucho;5;15
14;maracuya;lucho;0;0
14;fresa;lucho;0;0
15;oreo;bodega;25;75
15;maracuya;bodega;2;6
15;fresa;bodega;7;21
15;oreo;lucho;1;3
15;maracuya;lucho;0;0
15;fresa;lucho;0;0
16;oreo;bodega;15;45
16;maracuya;bodega;5;15
16;fresa;bodega;2;6
16;oreo;lucho;6;18
16;maracuya;lucho;0;0
16;fresa;lucho;0;0
17;oreo;bodega;6;18
17;maracuya;bodega;0;0
17;fresa;bodega;0;0
17;oreo;lucho;4;12
17;maracuya;lucho;0;0
17;fresa;lucho;0;0
18;oreo;bodega;10;30
18;maracuya;bodega;0;0
18;fresa;bodega;0;0
18;oreo;lucho;3;9
18;maracuya;lucho;0;0
18;fresa;lucho;0;0
